Country,Date,Day-ahead Price (EUR/MWh)
Austria,01.01.2019,27.97958333333333
Belgium,01.01.2019,61.63041666666667
Croatia,01.01.2019,36.55458333333333
Denmark,01.01.2019,-3.925416666666667
Estonia,01.01.2019,22.57958333333333
Finland,01.01.2019,22.57958333333333
Germany,01.01.2019,-3.800833333333333
Greece,01.01.2019,67.44416666666667
Hungary,01.01.2019,46.02583333333333
Italy,01.01.2019,43.95666666666667
Latvia,01.01.2019,22.57958333333333
Lithuania,01.01.2019,22.57958333333333
Luxembourg,01.01.2019,-3.800833333333333
Netherlands,01.01.2019,52.95666666666667
Norway,01.01.2019,48.74458333333333
Portugal,01.01.2019,63.24041666666667
Serbia,01.01.2019,53.23
Slovenia,01.01.2019,36.642500000000005
Spain,01.01.2019,63.24041666666667
Sweden,01.01.2019,21.80375
Switzerland,01.01.2019,43.0425
Austria,01.01.2020,29.50916666666667
Belgium,01.01.2020,35.44875
Croatia,01.01.2020,35.26
Denmark,01.01.2020,30.98875
Estonia,01.01.2020,27.736666666666665
Finland,01.01.2020,27.736666666666665
Germany,01.01.2020,28.499375
Greece,01.01.2020,53.31208333333334
Hungary,01.01.2020,32.13666666666666
Italy,01.01.2020,35.59375
Latvia,01.01.2020,27.736666666666665
Lithuania,01.01.2020,27.736666666666665
Luxembourg,01.01.2020,28.499375
Netherlands,01.01.2020,34.57833333333333
Norway,01.01.2020,30.93625
Portugal,01.01.2020,35.27041666666667
Serbia,01.01.2020,31.83458333333333
Slovenia,01.01.2020,34.99
Spain,01.01.2020,35.27041666666667
Sweden,01.01.2020,27.040416666666665
Switzerland,01.01.2020,31.738333333333333
Austria,01.01.2021,46.009479166666665
Belgium,01.01.2021,48.39833333333333
Croatia,01.01.2021,46.59125
Denmark,01.01.2021,48.39833333333333
Estonia,01.01.2021,36.236250000000005
Finland,01.01.2021,26.250833333333333
Germany,01.01.2021,44.62010416666667
Greece,01.01.2021,45.58041666666667
Hungary,01.01.2021,39.884166666666665
Italy,01.01.2021,48.16666666666666
Latvia,01.01.2021,36.236250000000005
Lithuania,01.01.2021,36.236250000000005
Luxembourg,01.01.2021,44.62010416666667
Netherlands,01.01.2021,48.39833333333333
Norway,01.01.2021,26.09958333333334
Portugal,01.01.2021,42.33583333333333
Serbia,01.01.2021,32.7325
Slovenia,01.01.2021,44.47916666666666
Spain,01.01.2021,42.33583333333333
Sweden,01.01.2021,26.20083333333333
Switzerland,01.01.2021,48.154583333333335
Austria,01.01.2022,65.00239583333332
Belgium,01.01.2022,85.675
Croatia,01.01.2022,84.08125
Denmark,01.01.2022,82.40666666666668
Estonia,01.01.2022,82.50083333333333
Finland,01.01.2022,82.02041666666666
Germany,01.01.2022,62.81270833333334
Greece,01.01.2022,143.93958333333333
Hungary,01.01.2022,83.06958333333334
Italy,01.01.2022,150.6891666666667
Latvia,01.01.2022,82.50083333333333
Lithuania,01.01.2022,82.50083333333333
Luxembourg,01.01.2022,62.81270833333334
Netherlands,01.01.2022,93.51208333333334
Norway,01.01.2022,127.15375
Portugal,01.01.2022,122.10208333333333
Serbia,01.01.2022,89.27666666666666
Slovenia,01.01.2022,83.88291666666666
Spain,01.01.2022,122.10208333333333
Sweden,01.01.2022,46.07916666666667
Switzerland,01.01.2022,90.96666666666664
Austria,01.01.2023,23.0015625
Belgium,01.01.2023,13.705416666666666
Croatia,01.01.2023,17.17291666666667
Denmark,01.01.2023,16.535
Estonia,01.01.2023,18.23375
Finland,01.01.2023,18.23375
Germany,01.01.2023,15.001666666666663
Greece,01.01.2023,237.8720833333333
Hungary,01.01.2023,17.74791666666667
Italy,01.01.2023,193.1445833333333
Latvia,01.01.2023,18.23375
